job_id,pair_id,concept,label,side,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,status,error,sample_rate,duration_seconds,rms_dbfs,peak_dbfs,clip_fraction,silence_fraction,spectral_centroid_mean_hz,spectral_centroid_median_hz,spectral_centroid_std_hz,rolloff_85_mean_hz,rolloff_85_median_hz,rolloff_95_mean_hz,rolloff_95_median_hz,low_band_energy,high_band_energy,total_energy,high_to_low_ratio,high_to_low_db,high_to_total_ratio,onset_strength_mean,onset_strength_median,onset_strength_max,onset_strength_p95,onset_count,onset_rate_per_second,mean_inter_onset_interval_ms,median_inter_onset_interval_ms,attack_time_ms_first,attack_time_ms_median,attack_time_ms_min,attack_time_ms_valid_count,transient_energy_total,non_transient_energy_total,transient_energy_fraction,transient_energy_per_onset_mean,event_sample,event_time_seconds,post_onset_energy_100ms,post_onset_energy_250ms,post_onset_energy_500ms,post_onset_energy_1000ms,tail_energy_fraction_250ms,tail_energy_fraction_500ms,tail_energy_fraction_1000ms,late_energy_fraction_300ms,late_energy_fraction_700ms,direct_energy,late_energy,direct_to_late_ratio,direct_to_late_db,decay_time_to_minus_20db_ms,decay_slope_db_per_second,reverb_proxy_score
06-positive-sample-000-seed-606,06,percussive_sustained,positive,positive,0,606,3.5,50,4.0,a percussive footstep lands once on tile,/outputs/percussive-sustained-v1/06/positive/06-positive-sample-000-seed-606.wav,ok,,44100,3.5,-24.727747392283582,0.0,0.0004146420396864414,0.007087787613272667,1630.09326171875,1660.25048828125,343.5328063964844,3472.6923828125,3660.64453125,5642.19873046875,5986.23046875,746405.8125,6513.44921875,798470.5625,0.008726418135643873,-20.591639811667424,0.008157406828319986,0.644188642501831,0.4079698324203491,15.79665470123291,1.8677059412002563,10,2.857142857142857,330.2393550012598,336.68934240362813,0.0,0.0,0.0,10,507.05657958984375,12.61859130859375,0.9757183101767626,50.77408657073975,5376,0.1219047619047619,131.8227996826172,136.07113647460938,137.7985076904297,150.44284057617188,0.6186054554177854,0.6137638403497062,0.5783230589509104,0.6176360973958249,0.6104067779531589,123.03187561035156,10.562309265136719,11.648198563589307,10.662587653288629,69.65986394557822,-0.645296847857405,0.4357018392486795
06-negative-sample-000-seed-606,06,percussive_sustained,negative,negative,0,606,3.5,50,4.0,a sustained organ chord held gently,/outputs/percussive-sustained-v1/06/negative/06-negative-sample-000-seed-606.wav,ok,,44100,3.5,-15.746013765677782,-2.8248500636819913,0.0,0.00038872691220603883,1226.5758056640625,1226.2218017578125,130.2949981689453,2100.91357421875,2088.720703125,2982.7763671875,2950.048828125,5931632.0,3505.41357421875,6326173.0,0.0005909694961215986,-32.28434935375869,0.0005541128221151634,0.416431725025177,0.3792228102684021,2.0914525985717773,0.7024657130241394,18,5.142857142857143,178.24729891956784,150.92970521541952,81.26984126984127,63.85487528344671,0.0,18,2628.243896484375,1482.356689453125,0.6393819690182705,170.3663970099555,1280,0.029024943310657598,115.33491516113281,334.0057067871094,556.3712158203125,1299.5634765625,0.9179727132917027,0.8633627225551536,0.6808449226396938,0.9034951089579667,0.7687238322505988,47.31477737426758,651.8952026367188,0.07258034294913297,-11.391809840472266,1625.3968253968253,-0.38240470178252767,0.8681833436571459
07-positive-sample-000-seed-607,07,percussive_sustained,positive,positive,0,607,3.5,50,4.0,a percussive book slams shut once,/outputs/percussive-sustained-v1/07/positive/07-positive-sample-000-seed-607.wav,ok,,44100,3.5,-20.7206883603182,0.0,0.0020926466677337885,0.02058309130370617,2535.262939453125,2541.1875,886.4010009765625,5178.021484375,5490.966796875,6939.3955078125,7062.890625,1903252.0,50163.81640625,2013129.75,0.026356896725315406,-15.791057251254387,0.02491832253050257,0.6447475552558899,0.42586883902549744,13.557957649230957,1.7480390071868896,9,2.5714285714285716,290.24943310657596,232.19954648526078,0.0,0.0,0.0,9,1282.8931884765625,24.5950927734375,0.9811890529910342,142.54376918408605,113920,2.583219954648526,1.1070797443389893,4.591662883758545,6.920645236968994,8.842704772949219,0.48073994569601675,0.21736098948173085,0.0,0.4780984072039488,0.07971298465053998,1.0592008829116821,6.68047571182251,0.15855171526740272,-7.998290552632659,29.024943310657598,-3.3437535970816907,0.47365267144440687
07-negative-sample-000-seed-607,07,percussive_sustained,negative,negative,0,607,3.5,50,4.0,a sustained cello note held warmly,/outputs/percussive-sustained-v1/07/negative/07-negative-sample-000-seed-607.wav,ok,,44100,3.5,-23.53460205113692,-9.67517532669143,0.0,0.0012568837264552712,858.2503662109375,851.261962890625,85.94352722167969,1522.7254638671875,1485.791015625,2512.6826171875,2497.8515625,1038370.0,143.01332092285156,1054206.875,0.00013772867178640712,-38.60975640698558,0.0001356596359920832,0.3791627287864685,0.35431480407714844,1.2651180028915405,0.6485995650291443,39,11.142857142857142,89.21350996538965,75.46485260770976,182.85714285714286,66.75736961451247,0.0,39,648.1260375976562,35.85882568359375,0.94757365607249,27.167416914915428,1280,0.029024943310657598,18.02989959716797,72.90583038330078,163.01824951171875,224.54498291015625,0.8920440865462828,0.7586093487337997,0.66750320843049,0.8527382824503371,0.7201769607577319,9.892322540283203,164.0523681640625,0.06029978506857194,-12.196842358482325,3198.548752834467,0.02285525649235985,0.8386815791385094
08-positive-sample-000-seed-608,08,percussive_sustained,positive,positive,0,608,3.5,50,4.0,a percussive pencil taps a desk once,/outputs/percussive-sustained-v1/08/positive/08-positive-sample-000-seed-608.wav,ok,,44100,3.5,-33.00861323066356,0.0,5.8309036830905825e-05,0.03664398938417435,2974.658447265625,2837.421630859375,692.2718505859375,5808.2607421875,5857.03125,7306.10205078125,7192.08984375,28606.08203125,69056.1484375,118628.296875,2.4140372792772298,3.8274397249678174,0.5821220590418259,0.87225341796875,0.40444862842559814,16.069232940673828,3.6188111305236816,22,6.285714285714286,162.26325450815244,127.70975056689343,26.122448979591837,56.598639455782305,0.0,22,77.05984497070312,0.14514923095703125,0.9981199502382203,6.6009091060100635,132352,3.0011791383219957,20.893802642822266,21.00028419494629,41.84993362426758,41.84993362426758,0.498200344207471,0.0,0.0,0.49810664014513556,0.0,19.08108139038086,21.03624725341797,0.9070572883326691,-0.42365282707217045,23.219954648526077,8.480774166480678,0.3408249121801829
08-negative-sample-000-seed-608,08,percussive_sustained,negative,negative,0,608,3.5,50,4.0,a sustained sine tone held steadily,/outputs/percussive-sustained-v1/08/negative/08-negative-sample-000-seed-608.wav,ok,,44100,3.5,-6.496839855210917,-1.1545391104564469,0.0,0.11542598158121109,1032.8160400390625,675.8089599609375,1608.4010009765625,1550.4619140625,581.396484375,2541.060546875,1270.458984375,53214844.0,29.589094161987305,53219876.0,5.560308353433735e-07,-62.549011234392665,5.559782619934572e-07,0.35177990794181824,0.3622710406780243,4.020795822143555,0.5793617367744446,5,1.4285714285714286,622.5850340136054,597.9138321995465,0.0,0.0,0.0,5,6634.2470703125,27945.5654296875,0.19185318226674886,1326.8494384765625,134400,3.0476190476190474,6.891265869140625,6.891283988952637,6.891284942626953,6.891284942626953,0.0,0.0,0.0,0.0,0.0,6.891231060028076,2.7499627321958542e-05,250593.61639149944,53.98970003604429,17.414965986394556,-557.7267587243769,1.3301695708122183e-06
09-positive-sample-000-seed-609,09,percussive_sustained,positive,positive,0,609,3.5,50,4.0,a percussive clapboard claps once,/outputs/percussive-sustained-v1/09/positive/09-positive-sample-000-seed-609.wav,ok,,44100,3.5,-26.495624595944825,-0.009415168200032225,0.0,0.4407515525817871,2392.104736328125,2119.078125,2816.854248046875,4664.64794921875,4285.107421875,6046.05322265625,6373.828125,416494.0,28808.263671875,536823.0,0.06916849623734075,-11.600916660290546,0.05366436175773952,0.37753599882125854,0.13697655498981476,13.836339950561523,1.4743531942367554,10,2.857142857142857,194.1446208112875,179.95464852607708,0.0,8.707482993197278,0.0,10,342.479248046875,3.4156494140625,0.9901251812642069,42.58911892026663,24064,0.5456689342403628,81.19367980957031,84.39347076416016,85.66183471679688,218.05184936523438,0.6132285823476944,0.6074156928575599,0.0006782400840309176,0.613167463231502,0.19691806506948104,59.706146240234375,8.34214973449707,7.157165495763416,8.547410595593174,139.31972789115645,-111.58037271649886,0.3108923773429803
09-negative-sample-000-seed-609,09,percussive_sustained,negative,negative,0,609,3.5,50,4.0,a sustained harmonica note held steadily,/outputs/percussive-sustained-v1/09/negative/09-negative-sample-000-seed-609.wav,ok,,44100,3.5,-23.075850894837732,-9.848478876174958,0.0,0.14010365307331085,1756.1925048828125,1087.0960693359375,2151.702880859375,3686.598388671875,2131.787109375,5428.79150390625,3746.77734375,1149933.625,741.8519897460938,1170723.0,0.0006451259217209982,-31.903555074251,0.0006336699541617392,0.3794930577278137,0.3856375813484192,1.7520079612731934,0.7270116806030273,28,8.0,105.99479297891996,87.07482993197279,8.707482993197278,14.512471655328799,0.0,28,637.8194580078125,122.369384765625,0.8390276496045663,30.54544934630394,43520,0.9868480725623583,9.279417037963867,19.918434143066406,138.58221435546875,424.785888671875,0.9654831475125198,0.7598496736201572,0.26388515761804693,0.9288557942205659,0.5688798120877945,4.835076332092285,187.11550903320312,0.025840061879821595,-15.877064506602013,1160.9977324263039,-108.87016904048666,0.8241821447315528
10-positive-sample-000-seed-610,10,percussive_sustained,positive,positive,0,610,3.5,50,4.0,a percussive ceramic cup taps a saucer once,/outputs/percussive-sustained-v1/10/positive/10-positive-sample-000-seed-610.wav,ok,,44100,3.5,-32.63873446088362,-4.679695235203792,0.0,0.02004535123705864,2830.314208984375,2616.6728515625,519.5953369140625,5459.0234375,5404.833984375,6925.70556640625,6933.69140625,22649.484375,75254.9296875,129159.265625,3.322589090397339,5.2147663474621355,0.5826521955149123,0.6275094747543335,0.44418445229530334,10.768304824829102,1.4081640243530273,10,2.857142857142857,337.334341143865,249.61451247165533,177.05215419501133,1.4512471655328798,0.0,10,82.63050842285156,1.4379653930664062,0.9828953075059377,8.263051452487707,106752,2.4206802721088434,14.99686336517334,16.873395919799805,51.83505630493164,53.027225494384766,0.6819878942475748,0.023067077896541038,0.000598249100835317,0.6812558549840428,0.0041452548409888785,13.430944442749023,37.499114990234375,0.3581669713071028,-4.459144655010302,98.68480725623583,-34.614706398458544,0.4738958685379944
10-negative-sample-000-seed-610,10,percussive_sustained,negative,negative,0,610,3.5,50,4.0,a sustained singing bowl tone rings steadily,/outputs/percussive-sustained-v1/10/negative/10-negative-sample-000-seed-610.wav,ok,,44100,3.5,-15.047465903253576,-2.7747228391511576,0.0,0.0004664722946472466,1130.2314453125,1048.0189208984375,353.9093017578125,1808.7889404296875,1593.45703125,2892.57958984375,2670.1171875,7347217.0,676.1353759765625,7442054.0,9.202605231022338e-05,-40.360892077317686,9.085332839247908e-05,0.45163217186927795,0.42562374472618103,1.8579702377319336,0.688067615032196,37,10.571428571428571,94.97606449987403,89.97732426303855,5.804988662131519,37.73242630385488,0.0,37,4360.7490234375,467.169921875,0.9032357570276563,181.15197882781158,57856,1.3119274376417234,121.22797393798828,449.6763916015625,837.61865234375,1586.818603515625,0.8394885521887869,0.7010129906391547,0.4335868518710885,0.818204079953764,0.5716860746009249,55.41727066040039,964.397705078125,0.057463088483719574,-12.406110355770977,2072.3809523809523,-2.0292220640499385,0.7785165466247665
11-positive-sample-000-seed-611,11,percussive_sustained,positive,positive,0,611,3.5,50,4.0,a percussive hand drum slap once,/outputs/percussive-sustained-v1/11/positive/11-positive-sample-000-seed-611.wav,ok,,44100,3.5,-27.870755313673918,-0.00026507636037961915,1.2957563740201294e-05,0.49073535203933716,3251.484619140625,1914.4559326171875,3215.976806640625,7133.76513671875,4285.107421875,9428.4052734375,6266.162109375,322124.34375,27898.1484375,387135.75,0.08660676840726975,-10.624481660996999,0.0720629609574936,0.6724783182144165,0.017200112342834473,17.693801879882812,4.290705680847168,11,3.142857142857143,299.5374149659864,185.75963718820861,0.0,0.0,0.0,11,251.19532775878906,0.822418212890625,0.9967366654688553,22.835939970883455,116736,2.647074829931973,10.523604393005371,27.733428955078125,169.25494384765625,230.01548767089844,0.8794279931499284,0.2641584730828208,0.0,0.8792741551097415,0.03160294353732629,10.386167526245117,161.82058715820312,0.06418322729289772,-11.925784492807374,81.26984126984127,-24.503482152105015,0.6168549675776843
11-negative-sample-000-seed-611,11,percussive_sustained,negative,negative,0,611,3.5,50,4.0,a sustained accordion note held gently,/outputs/percussive-sustained-v1/11/negative/11-negative-sample-000-seed-611.wav,ok,,44100,3.5,-28.10174026323116,-13.076518530082467,0.0,0.002494330983608961,1259.8929443359375,1266.3341064453125,105.51605224609375,2229.328125,2196.38671875,3489.16357421875,3488.37890625,355809.40625,382.8109436035156,370427.6875,0.001075887643438363,-29.68233080326272,0.001033429618037166,0.39791977405548096,0.3879856467247009,0.8253239989280701,0.5813950300216675,52,14.857142857142858,66.3589880396603,58.049886621315196,17.414965986394556,49.342403628117914,0.0,52,232.30120849609375,6.662872314453125,0.9721176827418866,9.28218096953172,130304,2.9547392290249435,12.024628639221191,35.304046630859375,60.44607162475586,65.7969970703125,0.4634397918216579,0.08132474509933972,0.0,0.38256124317961293,0.0,5.831913471221924,56.70013427734375,0.10285537319357356,-9.877730157109633,388.93424036281175,-5.1301818647603525,0.4297661498136968
12-positive-sample-000-seed-612,12,percussive_sustained,positive,positive,0,612,3.5,50,4.0,a percussive door knock once,/outputs/percussive-sustained-v1/12/positive/12-positive-sample-000-seed-612.wav,ok,,44100,3.5,-50.88549421326103,-21.322516837219823,0.0,0.5679364800453186,1946.7449951171875,2309.111083984375,2723.470703125,3783.283935546875,4543.505859375,4637.76708984375,6352.294921875,1339.2071533203125,151.47000122070312,1962.7021484375,0.11310423547631276,-9.465211315064714,0.07717421685266297,0.2716379165649414,0.0,2.820432424545288,0.736505925655365,13,3.7142857142857144,278.63945578231295,142.22222222222223,287.3469387755102,36.281179138321995,0.0,12,1.1242009401321411,0.13460052013397217,0.8930724785578836,0.11848328875091213,1280,0.029024943310657598,0.0777534544467926,0.20764711499214172,0.6383414268493652,0.9205034375190735,0.8327700184168215,0.4859076705010483,0.25866679320250985,0.7835334625381419,0.4073400005625949,0.03634125739336014,0.6252177953720093,0.05812575659612634,-12.3563138105452,1166.8027210884352,-85.73997478884651,0.7119802380340211
12-negative-sample-000-seed-612,12,percussive_sustained,negative,negative,0,612,3.5,50,4.0,a sustained clarinet note held steadily,/outputs/percussive-sustained-v1/12/negative/12-negative-sample-000-seed-612.wav,ok,,44100,3.5,-23.248399313605297,-8.590706125062495,0.0,0.0035050211008638144,1250.907958984375,1177.4481201171875,226.965576171875,2192.89306640625,1830.322265625,3986.066650390625,3617.578125,1116601.375,205.202392578125,1122669.5,0.0001837740819351266,-37.357157381417096,0.00018278076724995647,0.46065282821655273,0.45406967401504517,1.1574326753616333,0.6835629940032959,51,14.571428571428571,67.91836734693878,63.85487528344672,0.0,37.73242630385488,0.0,51,730.2891235351562,0.2890625,0.9996043373515314,29.154458204905193,1280,0.029024943310657598,1.7878261804580688,3.185796022415161,4.714909553527832,6.715521335601807,0.9956321097879586,0.993535736709198,0.9907927615715367,0.9951653379121272,0.9922825320457972,1.038666009902954,3.608646869659424,0.28782700203663353,-5.408684658357389,853.3333333333334,-19.675998591670776,0.9213165604911359
13-positive-sample-000-seed-613,13,percussive_sustained,positive,positive,0,613,3.5,50,4.0,a percussive metal spoon clicks once,/outputs/percussive-sustained-v1/13/positive/13-positive-sample-000-seed-613.wav,ok,,44100,3.5,-29.068342474458436,-1.466147691140526,0.0,0.016073858365416527,3498.14990234375,3235.82080078125,1053.48779296875,6064.94775390625,6136.962890625,7439.6513671875,7278.22265625,12869.59765625,262169.9375,294629.8125,20.37126136361222,13.090179208163867,0.8898282739123693,0.6910017728805542,0.4283585846424103,7.524179935455322,2.3552205562591553,24,6.857142857142857,149.16296953564034,121.9047619047619,272.8344671201814,8.707482993197278,0.0,24,189.53451538085938,1.7467041015625,0.9908683972933212,12.56112808485826,152576,3.4597732426303853,4.656595230102539,4.656595230102539,4.656595230102539,4.656595230102539,0.0,0.0,0.0,0.0,0.0,4.656595230102539,0.0,4656595230102.539,126.68068488958532,29.024943310657598,-317.33752696774894,7.158305948054706e-14
