job_id,pair_id,label,side,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,status,error,sample_rate,spectral_centroid_mean_hz,spectral_centroid_median_hz
11-dark-sample-000-seed-111,11,dark,dark,0,111,3.0,25,4.5,a dark muffled trumpet fanfare,/outputs/bright-dark-v1/11/dark/11-dark-sample-000-seed-111.wav,ok,,44100,880.3349609375,874.9457397460938
12-bright-sample-000-seed-112,12,bright,bright,0,112,3.0,25,4.5,a bright lively marimba pattern,/outputs/bright-dark-v1/12/bright/12-bright-sample-000-seed-112.wav,ok,,44100,1964.24658203125,2062.015380859375
12-dark-sample-000-seed-112,12,dark,dark,0,112,3.0,25,4.5,a dark slow marimba pattern,/outputs/bright-dark-v1/12/dark/12-dark-sample-000-seed-112.wav,ok,,44100,974.3965454101562,773.6642456054688
13-bright-sample-000-seed-113,13,bright,bright,0,113,3.0,25,4.5,a bright sharp xylophone melody,/outputs/bright-dark-v1/13/bright/13-bright-sample-000-seed-113.wav,ok,,44100,1775.6761474609375,1764.940185546875
13-dark-sample-000-seed-113,13,dark,dark,0,113,3.0,25,4.5,a dark hollow xylophone melody,/outputs/bright-dark-v1/13/dark/13-dark-sample-000-seed-113.wav,ok,,44100,1008.8287353515625,989.9093627929688
14-bright-sample-000-seed-114,14,bright,bright,0,114,3.0,25,4.5,a bright twinkling celesta passage,/outputs/bright-dark-v1/14/bright/14-bright-sample-000-seed-114.wav,ok,,44100,2209.56103515625,2228.4658203125
14-dark-sample-000-seed-114,14,dark,dark,0,114,3.0,25,4.5,a dark heavy celesta passage,/outputs/bright-dark-v1/14/dark/14-dark-sample-000-seed-114.wav,ok,,44100,2091.044677734375,2047.9210205078125
15-bright-sample-000-seed-115,15,bright,bright,0,115,3.0,25,4.5,a bright open church organ chord,/outputs/bright-dark-v1/15/bright/15-bright-sample-000-seed-115.wav,ok,,44100,1077.8778076171875,1001.0546875
15-dark-sample-000-seed-115,15,dark,dark,0,115,3.0,25,4.5,a dark thunderous church organ chord,/outputs/bright-dark-v1/15/dark/15-dark-sample-000-seed-115.wav,ok,,44100,1176.032958984375,1145.2388916015625
16-bright-sample-000-seed-116,16,bright,bright,0,116,3.0,25,4.5,a bright lively folk fiddle tune,/outputs/bright-dark-v1/16/bright/16-bright-sample-000-seed-116.wav,ok,,44100,1658.6729736328125,1639.5892333984375
16-dark-sample-000-seed-116,16,dark,dark,0,116,3.0,25,4.5,a dark slow folk fiddle tune,/outputs/bright-dark-v1/16/dark/16-dark-sample-000-seed-116.wav,ok,,44100,1054.4742431640625,1036.9410400390625
17-bright-sample-000-seed-117,17,bright,bright,0,117,3.0,25,4.5,a bright pop synth arpeggio,/outputs/bright-dark-v1/17/bright/17-bright-sample-000-seed-117.wav,ok,,44100,3296.32373046875,3227.23974609375
17-dark-sample-000-seed-117,17,dark,dark,0,117,3.0,25,4.5,a dark cinematic synth arpeggio,/outputs/bright-dark-v1/17/dark/17-dark-sample-000-seed-117.wav,ok,,44100,979.0730590820312,952.545166015625
18-bright-sample-000-seed-118,18,bright,bright,0,118,3.0,25,4.5,a bright crisp snare drum roll,/outputs/bright-dark-v1/18/bright/18-bright-sample-000-seed-118.wav,ok,,44100,3301.8857421875,3573.47216796875
18-dark-sample-000-seed-118,18,dark,dark,0,118,3.0,25,4.5,a dark muffled snare drum roll,/outputs/bright-dark-v1/18/dark/18-dark-sample-000-seed-118.wav,ok,,44100,1677.6182861328125,1512.0789794921875
19-bright-sample-000-seed-119,19,bright,bright,0,119,3.0,25,4.5,a bright clean jazz saxophone phrase,/outputs/bright-dark-v1/19/bright/19-bright-sample-000-seed-119.wav,ok,,44100,1626.734375,1572.469970703125
19-dark-sample-000-seed-119,19,dark,dark,0,119,3.0,25,4.5,a dark smoky jazz saxophone phrase,/outputs/bright-dark-v1/19/dark/19-dark-sample-000-seed-119.wav,ok,,44100,1724.774658203125,1684.0616455078125
20-bright-sample-000-seed-120,20,bright,bright,0,120,3.0,25,4.5,a bright airy choir voicing,/outputs/bright-dark-v1/20/bright/20-bright-sample-000-seed-120.wav,ok,,44100,1307.371337890625,1265.539794921875
20-dark-sample-000-seed-120,20,dark,dark,0,120,3.0,25,4.5,a dark heavy choir voicing,/outputs/bright-dark-v1/20/dark/20-dark-sample-000-seed-120.wav,ok,,44100,1456.322265625,1440.2779541015625
