status,error,pair_id,site,stack,block,direction,source_side,target_side,alpha,suffix_tokens,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,,04,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,positive,negative,1.0,645,16.979665756225586,4.695957183837891,19.070756912231445,3391.28564453125,2801.457763671875,3444.283203125,69.65986394557822,3453.968253968254,69.65986394557822,11.515486457678087,-1.718110998364898,11.477437349411641,0.000360400592424633,0.5313534678852421,0.00014491065849708666
ok,,04,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,negative,positive,1.0,645,3.843409538269043,19.070756912231445,4.695957183837891,2814.8291015625,3444.283203125,2801.457763671875,1573.1519274376417,69.65986394557822,3453.968253968254,-1.1529892631914211,11.477437349411641,-1.718110998364898,0.5958527848204028,0.00014491065849708666,0.5313534678852421
ok,,04,transformer.single_transformer_blocks.14,single,14,sustained_to_percussive,positive,negative,1.0,645,17.619050979614258,4.695957183837891,19.070756912231445,3400.6015625,2801.457763671875,3444.283203125,69.65986394557822,3453.968253968254,69.65986394557822,12.166490416254351,-1.718110998364898,11.477437349411641,0.00018338842375848754,0.5313534678852421,0.00014491065849708666
ok,,04,transformer.single_transformer_blocks.14,single,14,percussive_to_sustained,negative,positive,1.0,645,4.334081172943115,19.070756912231445,4.695957183837891,2784.4189453125,3444.283203125,2801.457763671875,1555.736961451247,69.65986394557822,3453.968253968254,-1.5903857391434801,11.477437349411641,-1.718110998364898,0.5936327262544947,0.00014491065849708666,0.5313534678852421
ok,,04,transformer.single_transformer_blocks.15,single,15,sustained_to_percussive,positive,negative,1.0,645,17.960397720336914,4.695957183837891,19.070756912231445,3362.4814453125,2801.457763671875,3444.283203125,69.65986394557822,3453.968253968254,69.65986394557822,11.853277833612976,-1.718110998364898,11.477437349411641,0.00018870675143737046,0.5313534678852421,0.00014491065849708666
ok,,04,transformer.single_transformer_blocks.15,single,15,percussive_to_sustained,negative,positive,1.0,645,4.411827564239502,19.070756912231445,4.695957183837891,2767.890625,3444.283203125,2801.457763671875,1555.736961451247,69.65986394557822,3453.968253968254,-1.5653248461418996,11.477437349411641,-1.718110998364898,0.6134885312417901,0.00014491065849708666,0.5313534678852421
ok,,05,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,positive,negative,1.0,,9.312175750732422,1.8328938484191895,16.668563842773438,3010.442626953125,1026.790283203125,3177.162353515625,87.07482993197279,2403.265306122449,63.85487528344672,-18.508009685052183,-40.58457244895311,-17.68087391683856,0.4522247475330029,0.8773060508819598,0.4961265792943389
ok,,05,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,negative,positive,1.0,,3.391270637512207,16.668563842773438,1.8328938484191895,1002.6810913085938,3177.162353515625,1026.790283203125,388.93424036281175,63.85487528344672,2403.265306122449,-37.56455653295548,-17.68087391683856,-40.58457244895311,0.0,0.4961265792943389,0.8773060508819598
ok,,05,transformer.transformer_blocks.4,dual,4,sustained_to_percussive,positive,negative,1.0,,9.860145568847656,1.8328938484191895,16.668563842773438,3080.205810546875,1026.790283203125,3177.162353515625,87.07482993197279,2403.265306122449,63.85487528344672,-17.978096854379068,-40.58457244895311,-17.68087391683856,0.47454250385194535,0.8773060508819598,0.4961265792943389
ok,,05,transformer.transformer_blocks.4,dual,4,percussive_to_sustained,negative,positive,1.0,,3.2606425285339355,16.668563842773438,1.8328938484191895,983.9443359375,3177.162353515625,1026.790283203125,388.93424036281175,63.85487528344672,2403.265306122449,-38.919799808530186,-17.68087391683856,-40.58457244895311,0.0,0.4961265792943389,0.8773060508819598
