status,error,pair_id,site,site_slug,stack,block,output_index,direction,source_label,target_label,source_prompt,target_prompt,seed,duration,steps,guidance_scale,alpha,sample_rate,source_activation_calls,patch_calls,suffix_tokens,source_baseline_centroid_mean_hz,target_baseline_centroid_mean_hz,patched_centroid_mean_hz,patched_centroid_median_hz,target_delta_centroid_hz,signed_brightness_effect_hz,source_shift_fraction,elapsed_seconds,wav_path,distance_target_to_source_hz,distance_patched_to_source_hz,closer_to_source,toward_source,overshot_source
ok,,17,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,bright_to_dark,bright,dark,a bright pop synth arpeggio,a dark cinematic synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,645,3296.32373046875,979.0730590820312,3281.804443359375,3243.9228515625,2302.7313842773438,2302.7313842773438,0.993734261343126,0.848,/outputs/brightness-centroid-movement-v1/17/bright-to-dark/17-bright-to-dark-single-transformer-blocks-14.wav,2317.2506713867188,14.519287109375,True,True,False
ok,,17,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,dark_to_bright,dark,bright,a dark cinematic synth arpeggio,a bright pop synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,645,979.0730590820312,3296.32373046875,948.11572265625,931.6434326171875,-2348.2080078125,2348.2080078125,1.0133595112553169,0.845,/outputs/brightness-centroid-movement-v1/17/dark-to-bright/17-dark-to-bright-single-transformer-blocks-14.wav,2317.2506713867188,30.95733642578125,True,True,True
ok,,17,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,bright_to_dark,bright,dark,a bright pop synth arpeggio,a dark cinematic synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,645,3296.32373046875,979.0730590820312,3214.379150390625,3160.0927734375,2235.3060913085938,2235.3060913085938,0.9646371533775038,0.839,/outputs/brightness-centroid-movement-v1/17/bright-to-dark/17-bright-to-dark-single-transformer-blocks-13.wav,2317.2506713867188,81.944580078125,True,True,False
ok,,17,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,dark_to_bright,dark,bright,a dark cinematic synth arpeggio,a bright pop synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,645,979.0730590820312,3296.32373046875,963.3355712890625,951.7509765625,-2332.9881591796875,2332.9881591796875,1.00679144815332,0.845,/outputs/brightness-centroid-movement-v1/17/dark-to-bright/17-dark-to-bright-single-transformer-blocks-13.wav,2317.2506713867188,15.73748779296875,True,True,True
ok,,17,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,bright_to_dark,bright,dark,a bright pop synth arpeggio,a dark cinematic synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,,3296.32373046875,979.0730590820312,2415.372314453125,2334.857177734375,1436.2992553710938,1436.2992553710938,0.6198290383972853,0.846,/outputs/brightness-centroid-movement-v1/17/bright-to-dark/17-bright-to-dark-transformer-blocks-1.wav,2317.2506713867188,880.951416015625,True,True,False
ok,,17,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,dark_to_bright,dark,bright,a dark cinematic synth arpeggio,a bright pop synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,,979.0730590820312,3296.32373046875,1070.8138427734375,1067.07470703125,-2225.5098876953125,2225.5098876953125,0.9604096419846949,0.851,/outputs/brightness-centroid-movement-v1/17/dark-to-bright/17-dark-to-bright-transformer-blocks-1.wav,2317.2506713867188,91.74078369140625,True,True,False
ok,,18,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,bright_to_dark,bright,dark,a bright crisp snare drum roll,a dark muffled snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,645,3301.8857421875,1677.6182861328125,3207.51318359375,3552.92626953125,1529.8948974609375,1529.8948974609375,0.9418983873364187,1.057,/outputs/brightness-centroid-movement-v1/18/bright-to-dark/18-bright-to-dark-single-transformer-blocks-17.wav,1624.2674560546875,94.37255859375,True,True,False
ok,,18,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,dark_to_bright,dark,bright,a dark muffled snare drum roll,a bright crisp snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,645,1677.6182861328125,3301.8857421875,1661.2965087890625,1466.4158935546875,-1640.5892333984375,1640.5892333984375,1.0100487005898617,0.864,/outputs/brightness-centroid-movement-v1/18/dark-to-bright/18-dark-to-bright-single-transformer-blocks-17.wav,1624.2674560546875,16.32177734375,True,True,True
ok,,18,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,bright_to_dark,bright,dark,a bright crisp snare drum roll,a dark muffled snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,645,3301.8857421875,1677.6182861328125,3157.590576171875,3478.13671875,1479.9722900390625,1479.9722900390625,0.911162927338263,0.853,/outputs/brightness-centroid-movement-v1/18/bright-to-dark/18-bright-to-dark-single-transformer-blocks-14.wav,1624.2674560546875,144.295166015625,True,True,False
ok,,18,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,dark_to_bright,dark,bright,a dark muffled snare drum roll,a bright crisp snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,645,1677.6182861328125,3301.8857421875,1662.1990966796875,1449.2269287109375,-1639.6866455078125,1639.6866455078125,1.0094930113853158,0.855,/outputs/brightness-centroid-movement-v1/18/dark-to-bright/18-dark-to-bright-single-transformer-blocks-14.wav,1624.2674560546875,15.419189453125,True,True,True
