status,error,pair_id,site,stack,block,direction,window_start,window_end,alpha,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,,02,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,25,50,1.0,4.17216157913208,7.752856254577637,1.0807329416275024,988.1941528320312,3824.651611328125,1200.6055908203125,330.8843537414966,249.61451247165533,3465.578231292517,-16.942701309379174,-8.921022415879246,-39.29767578366653,0.4692709280001895,0.5805149457893479,0.8077477903348771
ok,,02,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,38,50,1.0,5.1158976554870605,7.752856254577637,1.0807329416275024,1409.3720703125,3824.651611328125,1200.6055908203125,296.05442176870747,249.61451247165533,3465.578231292517,-11.823943747026988,-8.921022415879246,-39.29767578366653,0.49147958600068387,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,12,1.0,3.4713189601898193,1.0807329416275024,7.752856254577637,3339.95458984375,1200.6055908203125,3824.651611328125,98.68480725623583,3465.578231292517,249.61451247165533,-31.046467780226585,-39.29767578366653,-8.921022415879246,0.6771524789534217,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,25,1.0,6.705885887145996,1.0807329416275024,7.752856254577637,3547.178466796875,1200.6055908203125,3824.651611328125,203.17460317460316,3465.578231292517,249.61451247165533,-14.711567549584183,-39.29767578366653,-8.921022415879246,0.6403308737432969,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,38,1.0,7.9278669357299805,1.0807329416275024,7.752856254577637,3586.8994140625,1200.6055908203125,3824.651611328125,238.0045351473923,3465.578231292517,249.61451247165533,-11.304695577940183,-39.29767578366653,-8.921022415879246,0.5757490858074799,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,50,1.0,7.403391361236572,1.0807329416275024,7.752856254577637,3555.136962890625,1200.6055908203125,3824.651611328125,249.61451247165533,3465.578231292517,249.61451247165533,-10.766133171643457,-39.29767578366653,-8.921022415879246,0.5710478228301571,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,12,50,1.0,5.466139316558838,1.0807329416275024,7.752856254577637,2002.5574951171875,1200.6055908203125,3824.651611328125,290.24943310657596,3465.578231292517,249.61451247165533,-12.404239345068097,-39.29767578366653,-8.921022415879246,0.6375887894621786,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,25,50,1.0,4.769646167755127,1.0807329416275024,7.752856254577637,993.0911865234375,1200.6055908203125,3824.651611328125,406.3492063492063,3465.578231292517,249.61451247165533,-15.247789261938383,-39.29767578366653,-8.921022415879246,0.49908410088339533,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,38,50,1.0,2.4173977375030518,1.0807329416275024,7.752856254577637,1049.9473876953125,1200.6055908203125,3824.651611328125,946.2131519274376,3465.578231292517,249.61451247165533,-27.482032581480485,-39.29767578366653,-8.921022415879246,0.6041870707091715,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,12,1.0,1.5450496673583984,7.752856254577637,1.0807329416275024,1232.28271484375,3824.651611328125,1200.6055908203125,284.44444444444446,249.61451247165533,3465.578231292517,-34.149363820454745,-8.921022415879246,-39.29767578366653,0.850506316618728,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,25,1.0,1.0938048362731934,7.752856254577637,1.0807329416275024,1167.0618896484375,3824.651611328125,1200.6055908203125,3465.578231292517,249.61451247165533,3465.578231292517,-35.531415899991764,-8.921022415879246,-39.29767578366653,0.7953819469349269,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,38,1.0,1.199467658996582,7.752856254577637,1.0807329416275024,1169.4190673828125,3824.651611328125,1200.6055908203125,3465.578231292517,249.61451247165533,3465.578231292517,-36.05054739891003,-8.921022415879246,-39.29767578366653,0.8142450205766883,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,50,1.0,1.2987487316131592,7.752856254577637,1.0807329416275024,1161.1219482421875,3824.651611328125,1200.6055908203125,3465.578231292517,249.61451247165533,3465.578231292517,-36.865713365197934,-8.921022415879246,-39.29767578366653,0.8210942962050045,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,12,50,1.0,1.971604347229004,7.752856254577637,1.0807329416275024,1036.1531982421875,3824.651611328125,1200.6055908203125,952.0181405895692,249.61451247165533,3465.578231292517,-28.088695438526052,-8.921022415879246,-39.29767578366653,0.6105784781092215,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,25,50,1.0,4.211139678955078,7.752856254577637,1.0807329416275024,990.98779296875,3824.651611328125,1200.6055908203125,893.968253968254,249.61451247165533,3465.578231292517,-16.490458315473273,-8.921022415879246,-39.29767578366653,0.440293273715428,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,38,50,1.0,5.246213912963867,7.752856254577637,1.0807329416275024,1372.43896484375,3824.651611328125,1200.6055908203125,296.05442176870747,249.61451247165533,3465.578231292517,-11.512894988735018,-8.921022415879246,-39.29767578366653,0.4769183125738284,0.5805149457893479,0.8077477903348771
ok,,03,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,12,1.0,6.174319744110107,0.8137924671173096,14.190225601196289,1950.596435546875,1552.4002685546875,2484.386962890625,986.8480725623583,1097.142857142857,139.31972789115645,-16.33566466063832,-22.926383946381165,-12.071637205582071,0.34113723814554503,0.6898415378218197,0.0
ok,,03,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,25,1.0,9.298250198364258,0.8137924671173096,14.190225601196289,2213.79296875,1552.4002685546875,2484.386962890625,226.39455782312925,1097.142857142857,139.31972789115645,-14.399876191884625,-22.926383946381165,-12.071637205582071,0.0,0.6898415378218197,0.0
ok,,03,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,38,1.0,11.301220893859863,0.8137924671173096,14.190225601196289,2254.623291015625,1552.4002685546875,2484.386962890625,168.34467120181407,1097.142857142857,139.31972789115645,-13.765921273662991,-22.926383946381165,-12.071637205582071,0.0,0.6898415378218197,0.0
ok,,03,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,50,1.0,12.620062828063965,0.8137924671173096,14.190225601196289,2351.14599609375,1552.4002685546875,2484.386962890625,168.34467120181407,1097.142857142857,139.31972789115645,-13.11645134296122,-22.926383946381165,-12.071637205582071,0.0,0.6898415378218197,0.0
ok,,03,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,12,50,1.0,10.815776824951172,0.8137924671173096,14.190225601196289,2234.7724609375,1552.4002685546875,2484.386962890625,174.14965986394557,1097.142857142857,139.31972789115645,-14.338909713557557,-22.926383946381165,-12.071637205582071,0.4854672354434869,0.6898415378218197,0.0
ok,,03,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,25,50,1.0,5.355871200561523,0.8137924671173096,14.190225601196289,2012.9580078125,1552.4002685546875,2484.386962890625,789.4784580498866,1097.142857142857,139.31972789115645,-16.60793344139649,-22.926383946381165,-12.071637205582071,0.4786249062090477,0.6898415378218197,0.0
ok,,03,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,38,50,1.0,2.103329658508301,0.8137924671173096,14.190225601196289,1727.8551025390625,1552.4002685546875,2484.386962890625,481.8140589569161,1097.142857142857,139.31972789115645,-20.18821887704217,-22.926383946381165,-12.071637205582071,0.0,0.6898415378218197,0.0
ok,,03,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,12,1.0,3.648792028427124,14.190225601196289,0.8137924671173096,2438.02490234375,2484.386962890625,1552.4002685546875,1073.922902494331,139.31972789115645,1097.142857142857,-14.603335107935928,-12.071637205582071,-22.926383946381165,0.5342506651339087,0.0,0.6898415378218197
