status,pair_id,site,stack,block,scale,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms,patched_direct_to_late_db,target_baseline_direct_to_late_db,source_baseline_direct_to_late_db,patched_reverb_proxy_score,target_baseline_reverb_proxy_score,source_baseline_reverb_proxy_score,patched_late_energy_fraction_300ms,target_baseline_late_energy_fraction_300ms,source_baseline_late_energy_fraction_300ms,patched_late_energy_fraction_700ms,target_baseline_late_energy_fraction_700ms,source_baseline_late_energy_fraction_700ms
ok,01,transformer.single_transformer_blocks.3,single,3,0.5,4.843162536621094,4.260855197906494,6.564885669946671,2409.841064453125,2407.4365234375,2766.9752044677734,928.7981859410431,928.7981859410431,588.9160997732426,-14.30088876828702,-14.954365230389023,-9.898447343874796,0.9310281029613281,0.8762220613904942,0.6679174128828204,-11.528527581212142,-15.7263380047074,-11.020990460001563,0.9374798079329679,0.90450833785876,0.6766096820651057,0.9697762645557029,0.9214303181601712,0.6417285194905724,0.9083728023322597,0.8181502536921722,0.6394498394602475
ok,01,transformer.single_transformer_blocks.3,single,3,1.0,4.805403709411621,4.260855197906494,6.564885669946671,2513.32080078125,2407.4365234375,2766.9752044677734,592.1088435374149,928.7981859410431,588.9160997732426,-12.404115303855864,-14.954365230389023,-9.898447343874796,0.9319327649155863,0.8762220613904942,0.6679174128828204,-6.830251741241888,-15.7263380047074,-11.020990460001563,0.8984630660808235,0.90450833785876,0.6766096820651057,0.9489694948694128,0.9214303181601712,0.6417285194905724,0.9182481732191388,0.8181502536921722,0.6394498394602475
ok,01,transformer.single_transformer_blocks.3,single,3,2.0,1.2236030101776123,4.260855197906494,6.564885669946671,3282.3310546875,2407.4365234375,2766.9752044677734,348.29931972789115,928.7981859410431,588.9160997732426,-3.485849231612874,-14.954365230389023,-9.898447343874796,0.8648264922620993,0.8762220613904942,0.6679174128828204,-11.315362150329937,-15.7263380047074,-11.020990460001563,0.8845789652361634,0.90450833785876,0.6766096820651057,0.9159442917180033,0.9214303181601712,0.6417285194905724,0.8065805547602466,0.8181502536921722,0.6394498394602475
ok,01,transformer.single_transformer_blocks.3,single,3,4.0,1.094038724899292,4.260855197906494,6.564885669946671,3759.772705078125,2407.4365234375,2766.9752044677734,905.578231292517,928.7981859410431,588.9160997732426,-0.5908139941611456,-14.954365230389023,-9.898447343874796,0.8697297214112139,0.8762220613904942,0.6679174128828204,-12.90308754058438,-15.7263380047074,-11.020990460001563,0.8949838177512243,0.90450833785876,0.6766096820651057,0.9258099677162298,0.9214303181601712,0.6417285194905724,0.8078926916911973,0.8181502536921722,0.6394498394602475
ok,02,transformer.single_transformer_blocks.3,single,3,0.5,0.9626879096031189,1.1804088354110718,3.4844393074512485,1545.8118896484375,911.5433349609375,1271.082015991211,818.5034013605442,748.843537414966,408.96145124716554,-24.72818741077946,-38.28922513847376,-33.23330725195953,0.6754940601519036,0.7035852929630447,0.4952806444553709,-8.557582172253799,-10.212825198996123,-5.507477654290286,0.719379835442858,0.7607974214225628,0.5328987656289086,0.790745159677395,0.8137209106622096,0.534019111992611,0.4897342507560655,0.5556108347883785,0.3769104205564537
ok,02,transformer.single_transformer_blocks.3,single,3,1.0,0.9587658643722534,1.1804088354110718,3.4844393074512485,2177.807861328125,911.5433349609375,1271.082015991211,818.5034013605442,748.843537414966,408.96145124716554,-14.626803478280223,-38.28922513847376,-33.23330725195953,0.6580906763149921,0.7035852929630447,0.4952806444553709,-8.248144067368226,-10.212825198996123,-5.507477654290286,0.7141950631085466,0.7607974214225628,0.5328987656289086,0.7781415758473434,0.8137209106622096,0.534019111992611,0.4946420521309852,0.5556108347883785,0.3769104205564537
ok,02,transformer.single_transformer_blocks.3,single,3,2.0,0.9645085334777832,1.1804088354110718,3.4844393074512485,3011.3720703125,911.5433349609375,1271.082015991211,539.8639455782312,748.843537414966,408.96145124716554,-7.123182312511675,-38.28922513847376,-33.23330725195953,0.8599760006979266,0.7035852929630447,0.4952806444553709,-13.813036157171293,-10.212825198996123,-5.507477654290286,0.8927760319429637,0.7607974214225628,0.5328987656289086,0.9098272604929968,0.8137209106622096,0.534019111992611,0.8084043601020825,0.5556108347883785,0.3769104205564537
ok,02,transformer.single_transformer_blocks.3,single,3,4.0,1.1335786581039429,1.1804088354110718,3.4844393074512485,3661.283935546875,911.5433349609375,1271.082015991211,1422.2222222222222,748.843537414966,408.96145124716554,-1.8259774723558921,-38.28922513847376,-33.23330725195953,0.8672253925722708,0.7035852929630447,0.4952806444553709,-13.812205067505145,-10.212825198996123,-5.507477654290286,0.8951951013572526,0.7607974214225628,0.5328987656289086,0.9140248264193668,0.8137209106622096,0.534019111992611,0.8114713345112313,0.5556108347883785,0.3769104205564537
ok,03,transformer.single_transformer_blocks.3,single,3,0.5,5.852024078369141,3.348205804824829,5.652236276865006,1787.4222412109375,1680.0316162109375,2039.570297241211,1224.8526077097506,1230.657596371882,890.7755102040815,-15.912070099228364,-15.992129697512926,-10.9362118109987,0.3492213852141805,0.5123665344246793,0.30406188591700545,-7.00795292359381,-7.974611663510046,-3.269264118804209,0.5664921365547895,0.6433843325126524,0.4154856767189981,0.6153591943797869,0.7048749634813317,0.425173164811733,0.2502009659802102,0.36277673402731087,0.18407631979538608
ok,03,transformer.single_transformer_blocks.3,single,3,1.0,8.558551788330078,3.348205804824829,5.652236276865006,2661.796875,1680.0316162109375,2039.570297241211,650.1587301587301,1230.657596371882,890.7755102040815,-8.990765156829873,-15.992129697512926,-10.9362118109987,0.04300310752061312,0.5123665344246793,0.30406188591700545,-4.4644471932715675,-7.974611663510046,-3.269264118804209,0.31250264116508514,0.6433843325126524,0.4154856767189981,0.17997085546907632,0.7048749634813317,0.425173164811733,0.021013569491865836,0.36277673402731087,0.18407631979538608
ok,03,transformer.single_transformer_blocks.3,single,3,2.0,1.861159086227417,3.348205804824829,5.652236276865006,3247.561279296875,1680.0316162109375,2039.570297241211,1056.5079365079366,1230.657596371882,890.7755102040815,-2.6780936769611277,-15.992129697512926,-10.9362118109987,0.9195644236691589,0.5123665344246793,0.30406188591700545,-12.36515885631039,-7.974611663510046,-3.269264118804209,0.9273596945269018,0.6433843325126524,0.4154856767189981,0.9535177072244558,0.7048749634813317,0.425173164811733,0.8833884883244719,0.36277673402731087,0.18407631979538608
