status,pair_id,job_id,axis,factor_metric,site,stack,block,scale,audio_suffix_tokens,spectral_centroid_mean_hz,rms_dbfs,high_to_low_db,crest_factor_db,spectral_flatness_mean,onset_strength_max
ok,corpus-249,corpus-249-single-sample-000-seed-30249,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,1980.1978759765625,-42.53660377938348,-16.838929921794218,7.598316978600836,0.00023943099949974567,1.1549527645111084
ok,corpus-249,corpus-249-single-sample-000-seed-30249,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,1557.482421875,-33.80382902636939,-20.242592561133712,9.092439335576458,0.00018508185166865587,2.325774669647217
ok,corpus-249,corpus-249-single-sample-000-seed-30249,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,920.1096801757812,-32.953328350400675,-28.854819689377933,6.17000554331523,1.4374438251252286e-05,2.2580947875976562
ok,corpus-000,corpus-000-single-sample-000-seed-30000,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,0.0,,1537.63623046875,-16.2329396000681,-33.82061922690684,8.187919472168844,9.308465814683586e-05,3.505505084991455
ok,corpus-000,corpus-000-single-sample-000-seed-30000,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,5.0,,1638.755859375,-16.12945292292715,-33.05417082164619,8.145171750909846,0.00010413170821266249,3.581578493118286
ok,corpus-000,corpus-000-single-sample-000-seed-30000,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,10.0,,1701.2823486328125,-16.65410060495485,-33.46902351206653,8.430676450161936,0.00013631582260131836,2.9627912044525146
ok,corpus-000,corpus-000-single-sample-000-seed-30000,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,20.0,,1635.32373046875,-17.66616052979232,-32.51708004523281,10.495818458034865,9.806800517253578e-05,2.60530948638916
ok,corpus-000,corpus-000-single-sample-000-seed-30000,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,40.0,,1549.2481689453125,-25.35154815521389,-23.023363750182988,11.591014648682002,0.00010327315249014646,4.0369486808776855
ok,corpus-000,corpus-000-single-sample-000-seed-30000,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,80.0,,1567.0145263671875,-25.87611611500293,-17.783237221192753,6.84316203152564,2.3959513782756403e-05,4.319330215454102
ok,corpus-050,corpus-050-single-sample-000-seed-30050,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,0.0,,5274.005859375,-13.837678385498878,14.680389882139188,6.986647574806578,0.000344618660164997,1.295137643814087
ok,corpus-050,corpus-050-single-sample-000-seed-30050,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,5.0,,5256.14697265625,-13.810520187623307,15.02801653411141,6.845096061439101,0.0003706446150317788,1.2057167291641235
ok,corpus-050,corpus-050-single-sample-000-seed-30050,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,10.0,,5213.5625,-13.525284659653396,15.472647305634608,6.951476121418509,0.00040194718167185783,1.1074587106704712
ok,corpus-050,corpus-050-single-sample-000-seed-30050,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,20.0,,5218.75,-12.004780177563193,16.935190631721653,7.562978960750415,0.0004427865205798298,1.4294956922531128
ok,corpus-050,corpus-050-single-sample-000-seed-30050,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,40.0,,5222.6962890625,-13.424658986076448,15.476418597997256,8.024535738346819,0.00037812202936038375,1.440183162689209
ok,corpus-050,corpus-050-single-sample-000-seed-30050,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,80.0,,2842.314208984375,-18.831216516118623,-7.590693299395724,6.011452976420005,5.225982022238895e-05,1.5303254127502441
ok,corpus-100,corpus-100-single-sample-000-seed-30100,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,0.0,,3765.694580078125,-13.406891883158112,-3.316011835941251,9.934773178752481,0.0004715817922260612,1.9339953660964966
ok,corpus-100,corpus-100-single-sample-000-seed-30100,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,5.0,,3741.8701171875,-13.181749563710817,-3.560361549054284,10.09078411606255,0.0004944861866533756,2.5070443153381348
ok,corpus-100,corpus-100-single-sample-000-seed-30100,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,10.0,,3652.16845703125,-12.76062685390993,-3.8802383350897807,9.904903959568072,0.00044496613554656506,3.578418493270874
ok,corpus-100,corpus-100-single-sample-000-seed-30100,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,20.0,,3730.922119140625,-15.222450137283424,-1.4163947535716983,11.329877813871134,0.00042269373079761863,1.7750067710876465
ok,corpus-100,corpus-100-single-sample-000-seed-30100,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,40.0,,3335.826416015625,-22.42843014355359,-0.7044803513224341,13.148666019032413,0.00025561024085618556,1.919014573097229
ok,corpus-100,corpus-100-single-sample-000-seed-30100,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,80.0,,1819.5972900390625,-24.28666697606182,-15.70440484875666,7.442514499619845,4.055406679981388e-05,3.049529790878296
ok,corpus-149,corpus-149-single-sample-000-seed-30149,loudness,rms_dbfs,transformer.transformer_blocks.2,dual,2,0.0,,1847.0262451171875,-24.631730742123676,-33.42920618610686,10.897861029687974,0.00042257492896169424,0.787203311920166
