site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_rolloff,cv_pearson_rolloff,cv_spearman_rolloff,stability_cos_rolloff,n_rolloff,r2_tilt,cv_pearson_tilt,cv_spearman_tilt,stability_cos_tilt,n_tilt,r2_attack,cv_pearson_attack,cv_spearman_attack,stability_cos_attack,n_attack,r2_density,cv_pearson_density,cv_spearman_density,stability_cos_density,n_density,r2_decay,cv_pearson_decay,cv_spearman_decay,stability_cos_decay,n_decay,r2_tail,cv_pearson_tail,cv_spearman_tail,stability_cos_tail,n_tail,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness
transformer.single_transformer_blocks.4,single,4,0.46947981870182315,0.7232100194207968,0.7277841885470167,0.864986002445221,250,0.30014665804260127,0.5958741995992693,0.6547723323573177,0.7685756087303162,250,0.3696011381272933,0.647727892642823,0.6714827437238995,0.7208980917930603,250,0.010636606055537623,0.33430392013544036,0.37775567609081745,0.4813532829284668,250,0.17084543616710726,0.469239560944577,0.4720506888110209,0.4439392685890198,250,-0.045471813182145035,0.17375219442569734,0.18534171746747946,0.3747957646846771,250,-0.1494815882126855,-0.0710641995578218,-0.03191590265444247,0.235238716006279,250,0.06869411085485792,0.3765952739254777,0.4421896030336485,0.6882123947143555,250
transformer.single_transformer_blocks.5,single,5,0.46252137280495254,0.7205194574572962,0.7198152930446886,0.8288370370864868,250,0.31384802707297216,0.6061886111092574,0.6583912062593001,0.7179629802703857,250,0.3721201004930609,0.6479026595414992,0.6667249075985214,0.7062653303146362,250,0.014848250290456732,0.3425858026946494,0.37823261172178757,0.34685492515563965,250,0.161564154130654,0.46422094222633714,0.46186607785724565,0.30304020643234253,250,-0.05650865055922567,0.1559712422966032,0.17722459559352946,0.39030835032463074,250,-0.12468155414712716,-0.025459215033463944,0.02039879038064609,0.16483093798160553,250,0.08179401740206234,0.3783794752575941,0.4475925694811116,0.6660252809524536,250
transformer.single_transformer_blocks.6,single,6,0.47067430724898385,0.7258368494887043,0.7395601209619352,0.8444727063179016,250,0.3339057426159912,0.6200020947941097,0.6783334133346134,0.7526313066482544,250,0.3779878716802313,0.651852384465326,0.6772474439591033,0.7117871642112732,250,0.010287570082685682,0.3395609799274038,0.38676753228051647,0.26837998628616333,250,0.17068102208131633,0.47095648841427384,0.47418192291076655,0.3596894443035126,250,-0.0003729351718770868,0.23802767205803535,0.2423574137186195,0.4152759611606598,250,-0.14101344627482418,-0.036252646269739695,0.006171362741803868,0.13418887555599213,250,0.06426209160493417,0.3669654927749448,0.4408709259348149,0.6645216345787048,250
transformer.single_transformer_blocks.7,single,7,0.46001754151238555,0.7228129197865127,0.7331072817165074,0.8175199031829834,250,0.3140196376013593,0.6060179301638605,0.6704136706187298,0.6855338215827942,250,0.3764707323028632,0.6492770591467963,0.6731439543032688,0.6846626400947571,250,0.018987302042874844,0.33877433539253954,0.3884825037200595,0.16789062321186066,250,0.17965713782479123,0.4796902104808427,0.48290577449239186,0.2683420777320862,250,0.01734137498664401,0.2557930188007855,0.25106360101761627,0.34001296758651733,250,-0.1253737116163332,-0.04323508631880943,0.0031354101665626646,0.20269078016281128,250,0.030240227623100146,0.3482665721103394,0.4131472183554937,0.5611209273338318,250
transformer.single_transformer_blocks.8,single,8,0.4631418188825336,0.7227170099788175,0.7306903470455527,0.81571364402771,250,0.3077849994554038,0.5985757459062951,0.6741907550520808,0.7110008001327515,250,0.37508769485021093,0.6455835391976757,0.6713107089713434,0.6536798477172852,250,0.022069921395013226,0.34134031844530865,0.3930214563433015,0.2343796193599701,250,0.18148317886228077,0.4805769936594162,0.482586281380502,0.355363130569458,250,0.028239032524270867,0.2538962087865991,0.29082206115297843,0.39813241362571716,250,-0.11937850263355787,-0.050748787648408705,0.0018582057312917003,0.22892697155475616,250,0.05685620572404502,0.33653454010144257,0.41405654490471844,0.6642983555793762,250
transformer.single_transformer_blocks.9,single,9,0.4291836808169891,0.703505838233951,0.7081637786204579,0.819856584072113,250,0.25717519801577693,0.5629573883538369,0.6258436134978159,0.7556234002113342,250,0.369255548670899,0.6387519802251375,0.6580747851965632,0.7032387256622314,250,-0.0035361251316664124,0.31192628886924617,0.3667193395094321,0.4118598401546478,250,0.14845178693735295,0.44619620252222175,0.4670309604953679,0.5053738355636597,250,-0.03892131399607483,0.1376502160644623,0.1741341141458263,0.05047885328531265,250,-0.12618724070134898,-0.07697443360577659,-0.02992982287716603,0.17469827830791473,250,0.05356248559786061,0.33591583891399823,0.4273446935150962,0.6429269313812256,250
transformer.single_transformer_blocks.10,single,10,0.42802889059612725,0.7022999215604471,0.6986519464311428,0.7728164792060852,250,0.2735308194027323,0.574929809495022,0.6348001728027648,0.663252055644989,250,0.33721140864577553,0.6197552806344198,0.6311797628762059,0.6025002598762512,250,-0.009797285101272845,0.3028467083689377,0.34500916814669036,0.34461352229118347,250,0.11960289479881067,0.4217229006687479,0.43903076849229583,0.3988666832447052,250,-0.03868261423177257,0.13710433593661478,0.15925541208659338,0.2380354404449463,250,-0.11869728403760589,-0.05297037844371257,0.006459367349877598,0.18764878809452057,250,0.060851816097768754,0.34646918626404105,0.43797321557144914,0.5970504879951477,250
transformer.single_transformer_blocks.11,single,11,0.40534207945234346,0.6865789814742193,0.6766322661162579,0.7213301658630371,250,0.24186218850641633,0.5509376272968307,0.6054498151970431,0.5769868493080139,250,0.315158258225151,0.6009811690818367,0.621128786060577,0.5182719230651855,250,-0.006997383901840837,0.30104927963602196,0.34547919166706664,0.27060437202453613,250,0.12437131597420974,0.42306680143827385,0.4410375846013536,0.3060190677642822,250,-0.04286054530304169,0.14597122425241324,0.17382921326741224,0.2654932737350464,250,-0.12067576949856336,-0.06349973188907669,-0.028465223443575095,0.20377060770988464,250,0.05590891531496105,0.33577466605365835,0.40858138530216487,0.4441356956958771,250
transformer.single_transformer_blocks.12,single,12,0.37848571498895855,0.6717208957271009,0.6569527192435077,0.8085684776306152,250,0.2114195733865573,0.528970880255575,0.5835230643690299,0.7106654047966003,250,0.28834845480539195,0.5865077281165881,0.5946938031008496,0.6380124092102051,250,-0.025347900364378527,0.28373666432730804,0.33369327509240143,0.26779705286026,250,0.12442494626608631,0.42399058922907706,0.43775894014304223,0.34199783205986023,250,-0.055360932386611196,0.13094016679100542,0.1648764940239044,0.19484664499759674,250,-0.1274728048800334,-0.06411367709475212,-0.006357221715547448,0.16782698035240173,250,0.046530835942287505,0.3377832879527391,0.3986986031776508,0.5708093047142029,250
transformer.single_transformer_blocks.13,single,13,0.36487258200924816,0.660323254236169,0.6444387270196322,0.7632814645767212,250,0.19797568783336056,0.5135269317978994,0.5695705851293621,0.7169167995452881,250,0.28204847202976413,0.5795102687164967,0.593902750444007,0.5585354566574097,250,-0.026276371019667823,0.2816143441006582,0.32226678826861227,0.290512353181839,250,0.1174069750945054,0.41288840281141764,0.4271496183938942,0.35762012004852295,250,-0.05965873559911346,0.13341717873871964,0.16084135746171938,0.269501268863678,250,-0.13699054574566158,-0.07107653462025137,-0.019514808236931788,0.15356938540935516,250,0.06923040613784026,0.3486852886205461,0.4466271780348485,0.6993975639343262,250
